ìmọ́lẹ̀	160
là	160
òru	160
pọ́ọ̀lù	160
rò	159
èso	159
rú	158
síbẹ̀	157
èéṣe	157
nísinsìn	157
ṣíwájú	157
rántí	156
ipò	156
fẹ́ràn	155
ihà	154
lábẹ́	153
ìsinmi	153
odi	152
ìbá	151
san	151
àpótí	150
èlò	149
bẹ́ńjámínì	148
sùn	148
sun	147
nísinsin	147
àjọ	147
àjàrà	147
ṣíbẹ̀	147
kọ̀ọ̀kan	146
ìmọ̀	146
gé	146
ẹ̀rù	145
tẹ́	145
ańgẹ́lì	145
sìn	144
móábù	143
dà	143
ọ̀ta	143
yin	142
pamọ́	142
fà	142
ìwọ̀n	142
ọkọ	141
ọ̀dọ́	140
òwúrọ̀	140
fí	139
ẹ̀gbẹ́	138
da	138
òpin	138
àánú	137
wọlé	136
ẹsẹ̀	136
an	135
pàdé	135
àgbò	134
ki	134
ìparun	134
tirẹ̀	134
ìjà	133
wáìnì	133
bínú	133
ère	133
mẹ́wàá	132
ránṣẹ́	131
ṣiṣẹ́	131
pín	131
súnmọ́	131
nítòótọ́	131
jòhánù	130
bẹ̀	130
tẹ́ḿpìlì	129
kalẹ̀	129
pápá	128
sámúẹ́lì	128
ibùdó	128
jọ́dánì	128
àìmọ́	127
báwo	127
torí	127
kàn	127
yọ̀	127
ọlá	126
ìlà	126
ọgbà	125
kénánì	124
tùràrí	124
tán	124
jùlọ	124
ọkọ̀	124
ẹṣẹ̀	124
ín	124
wọ̀	122
sàn	121
jóábù	121
jeremáyà	121
jẹun	121
ẹyẹ	120
òkùnkùn	119
ìtẹ́	119
ìlànà	119
ẹgbẹ̀rún	118
ewúrẹ́	118
méjìlá	117
mẹ́rin	117
ámónì	117
agbégbé	116
ìyè	116
lónìí	116
pèsè	116
kẹ́tẹ́kẹ́tẹ́	116
la	115
idẹ	115
jó	115
dídùn	115
búra	114
so	114
dáradára	113
fọ́	113
ààfin	112
ṣẹlẹ̀	112
dùn	112
mánásè	112
òpó	112
ga	112
ìyìn	112
bàbá	111
àríwá	111
gbàgbọ́	111
ọ̀tún	111
lulẹ̀	111
èrè	110
aláìmọ́	110
àkọ́bí	110
ẹ̀yìn	110
ẹ̀bùn	110
kankan	109
ààlà	109
já	109
ẹlòmíràn	108
ihò	108
àlejò	108
lu	107
parí	107
lẹ́nu	106
éfúráímù	106
